Link,Name,Image,About,HowToMake,Ingredients,Garnish,Glass,Flavor,BaseSpirit,CocktailType,Preparation,Served,Strength,Difficulty,Hours,Occasions,Theme,Brands
https://www.liquor.com/recipes/a-la-louisiane/,A La Louisiane,https://cdn.liquor.com/wp-content/uploads/2019/11/12101404/a-la-louisiane-720x720-article.jpg,The A La Louisiane (sometimes called De La Louisiane) is the former house drink of New Orleans’ restaurant La Louisiane. A variation on the Vieux Carré the cocktail’s herbal flavors can be punched up or scaled back depending on the amount of Bénédictine Peychaud’s and absinthe you use.   ,Add all ingredients into a mixing glass with ice and stir. Strain into a chilled coupe. Garnish with a skewered maraschino cherry.,Rye whiskey;Sweet vermouth;Bénédictine;Peychaud’s bitters;Absinthe,Maraschino cherry,Coupe,Spirit-forward,Rye Whiskey;Whiskey,Classics,Stirred,Neat/Up,Medium,Medium,Evening,,,Bénédictine;Peychaud's
https://www.liquor.com/recipes/grave-digger/,Grave Digger,https://cdn.liquor.com/wp-content/uploads/2019/10/23090848/grave-digger-720x720-article.jpg,Get grounded this Halloween with a dessert cocktail that’s as disturbing as it is delicious. The Grave Digger is a simple twist on a Spanish Coffee with one spooky exception: It’s topped with crushed Oreo cookies and a tiny shovel to resemble a freshly dug grave—a nifty little trick we picked up from cocktail influencer Katie Stryjewski aka @garnish_girl.,Add all ingredients into a shaker with ice and shake until well-chilled. Strain into a coupe. Top with whipped cream and crushed Oreo cookies (discarding cream in center). *Vanilla-infused brandy: Cut 2 fresh vanilla pods lengthwise and place into a 750 mL bottle of brandy. Let sit for 3 to 5 days shaking occasionally. Strain out pods and store.,Vanilla-infused brandy;Coffee liqueur;Grand Marnier;Espresso,Whipped cream;Oreo cookies,Coupe,Bitter;Sweet,Brandy,Modern Classics,Shaken,Neat/Up,Medium,Medium,Evening;Nightcap,Halloween,Fall,
https://www.liquor.com/recipes/millionaire/,Millionaire,https://cdn.liquor.com/wp-content/uploads/2019/10/15112904/millionaire-720x720-recipe.jpg,This traditional sour has been around since Prohibition. Ideal for fans of bourbon and those that like their cocktails on the stronger side the Millionaire includes pastis or absinthe for the extra kick and egg white for an unforgettable texture. ,Add all ingredients into a shaker and dry-shake (no ice) to let the egg white foam up. Add cubed ice and shake vigorously for about 5 seconds. Double-strain into a pre-chilled coupe glass. Grate nutmeg over the drink.,Bourbon;Grand Marnier;Fresh lemon juice;Grenadine;Absinthe or pastis;Egg white,Grated nutmeg,Coupe,Sour,Bourbon / American Whiskey;Whiskey,Classics,,Neat/Up,Medium,Medium,Evening,,,Grand Marnier
https://www.liquor.com/recipes/rum-and-smoke/,Rum & Smoke,https://cdn.liquor.com/wp-content/uploads/2019/10/14082007/rum-and-smoke-720x720-article.jpg,On the surface the Rum & Smoke looks like little more than a winterized rum Negroni. But slip it underneath a glass cloche with a flamed rosemary sprig and you’ve got a cocktail that’s sexy smoky and cinematic.     ,In a mixing glass add all ingredients with ice and stir until chilled. Strain into a rocks glass over fresh ice. Garnish with a flamed rosemary sprig. Cover with a glass dome and let sit for 1-2 minutes or until the cocktail is well smoked before drinking. *Smoked-rosemary simple syrup: In a saucepan over medium heat combine ½ cup sugar ½ cup water and zest from 1 orange and stir until just under boil. Remove from heat. With a kitchen torch or lighter flame one rosemary sprig until it begins to smoke on all sides. Drop smoking sprig into saucepan and let steep covered for 20 minutes. Strain out solids and store in refrigerator up to one week.,Aged rum;Oloroso sherry;Tempus Fugit Gran Classico bitter liqueur;Smoked-rosemary simple syrup,Flamed rosemary sprig,Rocks,Spirit-forward,Rum,Modern Classics,Stirred,On the Rocks,Strong,Complicated,Evening,,,Gran Classico;Tempus Fugit
https://www.liquor.com/recipes/witches-brew/,Witches’ Brew,https://cdn.liquor.com/wp-content/uploads/2019/10/01120755/Witch-Brew-720x720-recipe.jpg,So many Halloween cocktails sacrifice balance for boo! Not the case with the Witches’ Brew a smoky scotch sour doused with fino sherry and beet juice which bubbles violently when served in a glass pipe with dry ice. But if special effects in your drink give you the heebie-jeebies skip them. This Halloween cocktail is just as much of a treat without the tricks. ,Add all ingredients except the beet juice into a shaker with ice and shake until chilled. Strain into a glass pipe or rocks glass over fresh ice. Top with the beet juice. *Dry ice: For the full Halloween effect drop a small cube of dry ice into the glass using tongs or sturdy gloves. Never use bare hands. Wait for the smoking to stop and the ice to completely melt before drinking your cocktail. Never ingest dry ice.,Islay scotch;Fino sherry;Fresh lemon juice;Simple syrup;Beet juice,Dry ice,Glass pipe;Rocks,Smoky,Scotch;Whiskey,Modern Classics,Shaken,On the Rocks,Strong,Medium,Evening,Halloween,Fall,
https://www.liquor.com/recipes/kiwi-bird/,Kiwi Bird,https://cdn.liquor.com/wp-content/uploads/2019/09/29172754/backbar-boston-kiwi-bird-720x720-recipe.jpg,Backbar bar manager Carlo Caroscio (who spent six years at chef Bryan Voltaggio’s flagship fine-dining restaurant Volt) keeps things relaxed but never dumbed-down. Bartender Joseph Habib’s Kiwi Bird arrives on a tray of ice with a cute kiwi bird gazing into a barrel glass. Scotch is bolstered by vodka then goes tart and lush with kiwi coconut cream lime and orange bitters. This recipe originally appeared as part of “10 Scotch Cocktails to Drink in Bars Now.”,Add all ingredients into a shaker with ice and shake. Strain into a Tiki mug over crushed ice. Garnish with a kiwi slice and freshly grated nutmeg. Serve with a straw. *Coconut cream: Combine 2 parts Coco Lopez and 1 part coconut milk. **Kiwi syrup: Combine 1 part Perfect Purée kiwi purée with 1 part simple syrup.,Compass Box Great King Street Artist’s Blend scotch;Broken Shed vodka;Coconut cream;Kiwi syrup;Regans’ Orange Bitters No. 6,Kiwi slice;Grated nutmeg,Tiki mug,Creamy,Scotch;Vodka;Whiskey,Modern Classics,Shaken,Crushed Ice,Medium,Medium,Afternoon,,,Broken Shed;Compass Box;Regans’
https://www.liquor.com/recipes/smoke-break/,Smoke Break,https://cdn.liquor.com/wp-content/uploads/2019/09/27153343/smoke-break-720x720-recipe.jpg,Jake Larowe the bar manager at Birds & Bees in Los Angeles says he wanted to do a decadent cocktail in a playful way. This Manhattan riff is added to a decanter that’s smoked with cherrywood. It reminds him of waiting tables in college and taking that quick cigarette break outside after the rush is over. “We wanted to create the cocktail that you look forward to after a long day at work” he says.This recipe originally appeared as part of “4 Smart Ways to Smoke Your Bourbon Cocktails.”,Using a smoking gun and the cherrywood chips add smoke to a glass decanter then cover top of decanter to capture smoke. Add remaining ingredients and ice into a mixing glass and stir until well-chilled. Strain into prepared decanter cap and serve in a rocks glass over a large ice cube. Garnish with a tray of dark chocolate and dried black cherries.,Cherrywood chips;W.L. Weller Special Reserve bourbon;Cream sherry;Carpano Antica Formula vermouth;Woodford Reserve spiced cherry bourbon-barrel-aged bitters;Angostura bitters,Dark chocolate;Dried black cherries,Rocks,Smoky;Spirit-forward,Bourbon / American Whiskey;Whiskey,Modern Classics,Stirred,Large Ice Cube,Strong,Medium,Evening,,,Angostura;carpano;W.L. Weller;Woodford
https://www.liquor.com/recipes/butter-and-smoke/,Butter & Smoke,https://cdn.liquor.com/wp-content/uploads/2019/09/27151524/Butter-and-Smoke-720x720-recipe.jpg,Smoking a cocktail glass using a lit sprig of a stalky herb like thyme rosemary or lavender not only adds flavor but is a fun parlor trick for a cocktail party. “This combination is perfect because the homemade pumpkin butter adds depth and richness to the bourbon along with a touch of fall spice” says Zachary Gross the beverage director at Sen Sakana in New York City. “This whole combination is completed by smoking the cocktail with thyme which is another essential fall flavor.This recipe originally appeared as part of “4 Smart Ways to Smoke Your Bourbon Cocktails.”,Light a thyme sprig using a kitchen torch place it inside a rocks glass and set the rocks glass upside down on a granite countertop or other fireproof surface. Add remaining ingredients into a mixing glass with ice and stir until well-chilled. Strain into prepared glass over a large ice cube and swirl to incorporate smoke. Garnish with a thyme sprig and cranberries. *Pumpkin-butter-infused fat-washed bourbon: Add 2 15-oz cans of pumpkin purée 2/3 cup coconut sugar or organic brown sugar 1/4 cup Grade A maple syrup 1/2 cup unsweetened apple juice 1 tbsp fresh lemon juice 2 1/2 tsp pumpkin pie spice 1/2 tsp ground cinnamon and a pinch of sea salt to a large saucepan or pot over medium-high heat and stir to combine. Once the mixture begins to bubble reduce heat to low and simmer for 20 minutes stirring occasionally. Remove from heat let cool completely and transfer to a large glass container. (Keeps in refrigerator for up to 2 weeks.) Spread the pumpkin butter out on a large pan with a high rim. Pour a 750 mL bottle of bourbon on top cover and let it infuse for an hour. Place the pan in the freezer to allow the alcohol to separate. Strain out solids and put it in a container.,Thyme;Pumpkin-butter-infused fat-washed bourbon;Tempus Fugit Gran Classico bitter apéritif;Fee Brothers cranberry bitters,Thyme sprig;Cranberries,Rocks,Smoky;Spirit-forward,Bourbon / American Whiskey;Whiskey,Modern Classics,Stirred,On the Rocks,Medium,Complicated,Evening,,Fall,Fee Brothers;Tempus Fugit
https://www.liquor.com/recipes/revenant/,Revenant,https://cdn.liquor.com/wp-content/uploads/2019/09/27141456/Revenant-720x720-slideshow.jpg,John Filkins the beverage director at Officina and Masseria in Washington D.C. wanted to do a richer version of a Boulevardier including adding a whiff of smoke. He boils Fee Brothers. Aztec chocolate bitters and cardamom bitters taking advantage of the fact that since they’re both glycerin-based they smoke but don’t burn the way those made from alcohol would. A snifter is filled with smoke and covered with a coaster and the drink is then poured tableside from a carafe. “Chinato is a great replacement for vermouth and adds an herbal complexity [while] dry curaçao helps to lift it” says Filkins. “The smoke adds a wow factor when it goes to the table and chocolate and cardamom bring aromatic complexity and warm baking spices.”This recipe originally appeared as part of “4 Smart Ways to Smoke Your Bourbon Cocktails.”,Heat an empty Turkish coffeepot. When it begins to steam add both bitters. When it begins to smoke fill a chilled snifter with the smoke and cover with a coaster. Add remaining ingredients and ice into a mixing glass and stir until well-chilled. Remove coaster from prepared glass and strain drink into it.,Fee Brothers Aztec chocolate bitters;Fee Brothers cardamom bitters;Blanton’s bourbon;Pierre Ferrand dry curaçao;Cocchi Barolo chinato,,Snifter,Smoky;Spirit-forward,Bourbon / American Whiskey;Whiskey,Modern Classics,Stirred,Neat/Up,Medium,Medium,Evening,,,Blanton's;Cocchi;Fee Brothers;Pierre Ferrand
https://www.liquor.com/recipes/bourbon-toscano/,Bourbon Toscano,https://cdn.liquor.com/wp-content/uploads/2019/09/27145534/Bourbon-Toscamo-720x720-recipe.jpg,This Old Fashioned riff at popular restaurant TMACS in the heart of Walla Walla in Washington state’s wine country gets its smoky notes from a double dose of ice made with water that has been smoked with cherrywood chips. The cubes are stirred with the other ingredients to chill and dilute the drink and the concoction is also served over a smoky cube. “As the smoke flavor from the aromatic infusion dissipates the cocktail slowly infuses with the water from the smoked ice and maintains the prominence of smoke throughout the entirety of the cocktail experience” says owner Logan Thies. The orange flavor comes from Aperol which replaces the orange rind in the original. “The brightening that the citrus oil introduces is beautiful but I wanted to make the drink more defined and complex while staying true to its nature” he says.This recipe originally appeared as part of “4 Smart Ways to Smoke Your Bourbon Cocktails.”,Add all ingredients into a mixing glass with ice and stir until well-chilled. Strain into an Old Fashioned glass over the smoked ice cubes. Garnish with a dehydrated rosemary sprig and dehydrated orange wheel. *Smoked ice cubes: Fill a smoker with cherrywood chips (or add a smoker box filled with cherrywood chips to a grill). Fill metal containers with water set inside the smoker or grill and close the lid. Smoke for 30 minutes or until desired flavor is achieved. Freeze the smoked water in ice cube trays.,Four Roses Kentucky straight bourbon;Aperol;Addition rosemary cocktail spice bitters;Smoked ice cubes,Dehydrated rosemary sprig;Dehydrated orange wheel,Old Fashioned,Smoky;Spirit-forward,Bourbon / American Whiskey;Whiskey,Modern Classics,Stirred,On the Rocks,Strong,Medium,Evening,,,Addition;Aperol;Four Roses
https://www.liquor.com/recipes/mozart-ultimate-chocolate-martini/,The Ultimate Chocolate Martini,https://cdn.liquor.com/wp-content/uploads/2019/09/25224146/ultimate-chocolate-martini-feature.jpg,A great dessert cocktail shouldn’t include any added sugar or artificial flavors. Simply mix all-natural Mozart chocolate cream liqueur and vodka for an elegant and mouthwatering take on the classic Chocolate Martini. ,Add all ingredients into a shaker with ice and shake well. Strain into a cocktail glass.,Mozart chocolate cream liqueur;Mamont vodka,,Cocktail,Creamy,Liqueurs,Martinis,Shaken,Neat/Up,Medium,Medium,Evening,,chocolate;Fall;Holiday Season;Winter,Mamont;Mozart
https://www.liquor.com/recipes/mozart-not-so-basic-psl/,No-So-Basic PSL,https://cdn.liquor.com/wp-content/uploads/2019/10/03105750/IMG_6402.jpg,Pumpkin spice lattes announce the arrival of fall even better than the leaves changing color. Skip the trip to the coffee shop and try this spiced-up and boozy take on the classic. The irresistible mix of Mozart pumpkin spice and dark chocolate liqueur spiced rum and chile pepper is far from basic. ,Add the liqueurs and rum into a mug. Add the cinnamon and pour in the espresso. Top with the whipped cream. Sprinkle a dash of chile powder over top. Garnish with a cinnamon stick.,Mozart pumpkin spice liqueur;Mozart dark chocolate liqueur;STROH 160 rum;Cinnamon;Deadsled spellbound espresso;Whipped cream to top,Chile powder;Cinnamon stick,Mug,Creamy;Sweet,Liqueurs,Hot,Cooked/Heated,Hot/Warm,Medium,Medium,Evening,,Fall,Mozart;Stroh
https://www.liquor.com/recipes/azunia-souled-out/,Souled Out,https://cdn.liquor.com/wp-content/uploads/2019/09/30133040/Azunia-souled-out-720x720-slideshow.jpg,Jasmine Garcia developed this stunning twist on the Tequila Negroni for Tales of the Cocktail in New Orleans. She wanted to pay tribute to the French Quarter with Aveze Gentian and Royal Combier two French liqueurs. She then used piri piri to capture some of the Cajun spice of the city. The delicious cocktail also serves as a great showcase for Azuñia black 2-year extra aged special reserve añejo tequila. ,Add all ingredients to a mixing glass with ice and stir. Strain into a highball glass filled with fresh ice. Garnish with an orange twist and palm leaf.,Azuñia black 2-year extra aged special reserve añejo tequila;Aveze Gentian liqueur;Royal Combier liqueur;Only Bitters piri piri cocktail spice,Orange twist Palm leaf,Highball;Collins,Spicy;Spirit-forward,Tequila,Modern Classics,Stirred,On the Rocks,Medium,Medium,Evening,,,Azunia
